Food_Item,Category,Calories,Protein,Carbs,Fat,Vegetarian,Vegan,Dosha_Vata,Dosha_Pitta,Dosha_Kapha,Food_Group,Fat_Adjusted
Buttermilk (light),Generic,281,5.7,19.4,12.6,Yes,No,neutral,neutral,increases,Dairy Products,3.5
Chana Dal (light),Generic,183,5.3,25.2,0.0,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Chana Ghugni,Generic,152,1.0,22.9,1.0,Yes,No,neutral,neutral,neutral,Legumes/Pulses,1.0
Chapati,Generic,72,0.2,9.8,2.1,Yes,No,neutral,neutral,neutral,Others,
Chettinad Chicken Curry,Tamil Nadu,112,6.1,4.2,7.9,No,No,neutral,neutral,neutral,Non-Veg Protein,8.0
Chhena Jhili,Generic,113,0.2,47.2,1.3,Yes,No,neutral,neutral,neutral,Others,
Chhena Poda,Generic,126,0.9,25.6,0.0,Yes,No,neutral,neutral,neutral,Others,
Chikoo,Generic,93,0.6,17.1,0.0,Yes,Yes,decreases,neutral,neutral,Others,
Chingri Malai Curry,Generic,122,1.4,15.4,1.3,Yes,No,neutral,decreases,increases,Vegetables,0.5
Chiroti,Karnataka,164,3.7,39.5,0.0,Yes,No,neutral,neutral,neutral,Grains,1.5
Chole Bhature,Generic,125,1.1,4.6,0.0,Yes,No,neutral,neutral,neutral,Others,
Churma,Generic,96,2.5,31.6,0.1,Yes,No,neutral,neutral,neutral,Others,
Coconut Chutney,Lakshadweep,130,1.5,16.9,0.0,Yes,No,neutral,increases,neutral,Condiments,2.0
Coconut Pudding,Lakshadweep,84,1.1,44.3,1.7,Yes,No,neutral,neutral,neutral,Others,
Coconut Rice,Lakshadweep,168,2.6,26.7,0.7,Yes,No,decreases,neutral,neutral,Grains,0.5
Coconut Water,Generic,83,0.2,47.1,0.9,Yes,No,neutral,neutral,neutral,Others,
Coorg Pandi Curry,Karnataka,141,8.4,24.2,2.8,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Cow Milk (warm),Generic,122,2.0,10.1,5.9,Yes,No,neutral,neutral,increases,Dairy Products,3.5
Curd (fresh),Generic,225,3.4,17.6,2.6,Yes,No,neutral,neutral,increases,Dairy Products,4.0
Custard Apple,Generic,106,1.3,27.8,1.4,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Dabeli,Generic,127,2.9,20.6,4.3,Yes,No,neutral,neutral,neutral,Others,
Dahi Bhalla,Generic,173,8.6,17.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Dal Baati Churma,Generic,145,3.0,32.0,0.6,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Dal Bafla,Madhya Pradesh,147,8.4,29.3,0.8,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Dal Pitha,Generic,162,5.3,28.0,2.2,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Dalma,Generic,183,6.7,42.1,2.6,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Dates,Generic,88,0.1,32.9,0.5,Yes,Yes,decreases,decreases,neutral,Others,
Dhokla,Generic,90,1.4,19.7,0.0,Yes,No,neutral,neutral,neutral,Others,
Dohneiiong,Generic,151,1.5,42.9,0.7,Yes,No,neutral,neutral,neutral,Others,
Dosa,Tamil Nadu,153,3.7,33.4,0.6,Yes,No,decreases,neutral,neutral,Grains,6.0
Dragonfruit,Generic,65,0.5,3.7,0.9,Yes,Yes,decreases,neutral,neutral,Fruits,0.3
Duck Curry,Generic,65,9.7,33.8,3.7,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Dum Aloo,Generic,106,4.0,28.9,1.6,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Eromba,Generic,115,2.2,31.6,4.0,Yes,No,neutral,neutral,neutral,Others,
Farsan,Generic,150,3.5,43.4,0.0,Yes,No,neutral,neutral,neutral,Others,
Fig,Generic,113,0.3,19.2,1.3,Yes,Yes,decreases,neutral,neutral,Others,
Filter Coffee,Tamil Nadu,100,0.2,5.3,0.1,Yes,No,neutral,neutral,neutral,Beverages,0.0
Fish Curry (light),Kerala,118,20.5,0.0,9.1,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
Fish Curry Rice,Generic,207,22.9,4.3,10.4,No,No,decreases,neutral,neutral,Grains,0.5
Fish Fry,Lakshadweep,176,17.2,4.0,2.4,No,No,neutral,increases,neutral,Non-Veg Protein,6.0
Fresh Fruit Salad (seasonal),Generic,166,2.7,41.0,4.4,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Gajar Methi ki Sabzi,Generic,129,2.4,37.8,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Gajar ka Halwa,Generic,226,9.2,16.0,5.6,Yes,No,decreases,neutral,increases,Sweets/Desserts,10.0
Galouti Kebab,Generic,33,3.3,20.0,3.1,Yes,No,neutral,neutral,neutral,Others,
Gatte ki Sabzi,Generic,132,4.2,25.2,0.8,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Ghee (small serving),Generic,253,2.0,31.3,7.8,Yes,No,neutral,decreases,increases,Dairy Products,81.0
Ghevar,Generic,109,1.1,36.5,4.4,Yes,No,neutral,neutral,neutral,Others,
Goan Sausage Pulao,Generic,127,4.2,11.2,2.7,Yes,No,neutral,neutral,neutral,Others,
Gongura Pachadi,Generic,169,5.2,14.0,0.5,Yes,No,neutral,increases,neutral,Others,
Grapes (black),Generic,137,1.4,15.2,1.1,Yes,Yes,decreases,neutral,neutral,Fruits,0.3
Grapes (green),Generic,49,1.4,16.4,0.0,Yes,Yes,decreases,neutral,neutral,Fruits,0.3
Greek Salad (light),International,127,5.4,18.8,1.4,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Guava,Generic,62,0.8,19.4,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Gustaba,Jammu & Kashmir,135,1.4,41.0,0.8,Yes,No,neutral,neutral,neutral,Others,
Gya Thuk,Generic,117,5.5,34.7,3.9,Yes,No,neutral,neutral,neutral,Others,
Haak,Jammu & Kashmir,131,1.1,39.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Handvo,Generic,118,2.8,36.5,1.3,Yes,No,neutral,neutral,neutral,Others,
Herbal Tea (tulsi/ginger mild),Generic,57,4.6,29.4,1.9,Yes,No,decreases,increases,neutral,Beverages,0.0
Hummus with Flatbread,International,147,1.7,19.5,0.2,Yes,No,neutral,neutral,neutral,Grains,2.0
Hyderabadi Biryani,Generic,55,3.9,29.8,3.2,Yes,No,neutral,neutral,neutral,Others,
Idli,Tamil Nadu,184,1.6,30.6,1.4,Yes,No,decreases,neutral,neutral,Grains,0.5
Imarti,Generic,37,2.6,32.9,1.7,Yes,No,neutral,neutral,neutral,Others,
Jackfruit,Generic,77,1.7,23.6,0.4,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Jadoh,Generic,43,3.2,5.3,0.0,Yes,No,neutral,neutral,neutral,Others,
Jalebi,Generic,125,2.8,31.3,1.0,Yes,No,neutral,neutral,neutral,Sweets/Desserts,10.0
Jolada Rotti,Karnataka,92,5.3,10.4,2.4,Yes,No,neutral,neutral,neutral,Others,
Jowar Roti,Generic,139,6.6,33.9,2.3,Yes,No,neutral,neutral,neutral,Grains,1.5
Kachori,Generic,66,3.0,33.0,0.4,Yes,No,neutral,neutral,neutral,Others,
Kadala Curry,Kerala,121,5.0,9.0,0.7,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Kadhi Pakora,Generic,169,1.3,3.0,0.0,Yes,No,increases,neutral,neutral,Others,
Kakori Kebab,Generic,89,3.1,17.6,1.9,Yes,No,neutral,neutral,neutral,Others,
Kanika,Generic,156,1.8,52.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Kanji (rice porridge),Generic,178,2.7,25.1,0.1,Yes,No,decreases,decreases,neutral,Grains,0.5
Kehwa,Jammu & Kashmir,112,1.5,33.8,2.6,Yes,No,neutral,neutral,neutral,Others,
Ker Sangri,Generic,184,2.0,32.8,2.1,Yes,No,neutral,neutral,neutral,Others,
Kesari Bath,Karnataka,157,3.1,16.2,1.6,Yes,No,neutral,neutral,neutral,Others,
Khaja,Generic,98,7.0,22.3,4.8,Yes,No,neutral,neutral,neutral,Others,
Khambir,Ladakh,77,1.8,42.5,2.9,Yes,No,neutral,neutral,neutral,Others,
Khandvi,Generic,86,6.7,16.8,1.8,Yes,No,neutral,neutral,neutral,Others,
Khar,Generic,105,3.2,3.0,3.2,Yes,No,neutral,neutral,neutral,Others,
Khicede,Generic,123,1.3,27.3,0.0,Yes,No,neutral,neutral,neutral,Others,
Khichdi (vegetable),Generic,90,4.9,22.5,0.0,Yes,No,decreases,neutral,neutral,Vegetables,0.5
Khopra Pak,Madhya Pradesh,126,5.3,32.6,1.1,Yes,No,neutral,neutral,neutral,Others,
Kinema,Generic,91,6.3,11.4,4.2,Yes,No,neutral,neutral,neutral,Others,
Kitchari (moong+rice),Generic,185,6.2,28.4,2.3,Yes,No,decreases,neutral,neutral,Grains,0.5
Kiwi,Generic,167,0.4,12.5,0.2,Yes,Yes,neutral,decreases,neutral,Others,
Kodi Kura,Generic,71,3.6,32.8,3.8,Yes,No,neutral,neutral,neutral,Others,
Laal Maas,Generic,107,0.2,40.0,4.6,Yes,No,neutral,neutral,neutral,Others,
Ladakhi Butter Tea,Ladakh,145,0.9,20.8,1.2,Yes,No,neutral,neutral,increases,Dairy Products,81.0
Lassi,Generic,113,1.8,6.7,1.7,Yes,No,neutral,decreases,increases,Beverages,3.0
Litchi,Generic,96,4.0,24.5,0.1,Yes,Yes,decreases,decreases,neutral,Others,
Litti Chokha,Generic,185,0.2,32.5,2.6,Yes,No,neutral,neutral,neutral,Others,
Luchi,Generic,79,3.6,20.7,2.4,Yes,No,neutral,neutral,neutral,Others,
Macher Jhol,Generic,149,5.5,41.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Machha Tarkari,Generic,131,3.0,27.1,1.2,Yes,No,neutral,neutral,neutral,Others,
Makhan Bada,Generic,104,8.9,9.6,4.3,Yes,No,neutral,neutral,neutral,Others,
Malabar Parotta,Kerala,65,5.2,22.4,4.1,Yes,No,increases,neutral,neutral,Others,
Malaiyo,Generic,156,2.5,16.7,3.6,Yes,No,neutral,neutral,increases,Others,
Malpua,Generic,211,6.0,30.4,22.5,Yes,No,neutral,neutral,increases,Others,
Manda Pitha,Generic,134,2.9,29.2,0.7,Yes,No,neutral,neutral,neutral,Others,
Mangalore Buns,Karnataka,111,4.0,25.8,0.5,Yes,No,neutral,neutral,neutral,Others,
Mango (raw),Generic,115,1.8,9.3,1.1,Yes,Yes,decreases,decreases,increases,Fruits,0.3
Mango (ripe),Generic,70,1.2,21.1,1.2,Yes,Yes,decreases,neutral,increases,Fruits,0.3
Masala Fish Curry,Lakshadweep,70,14.0,6.0,0.5,No,No,neutral,increases,neutral,Non-Veg Protein,6.0
Masoor Dal (light),Generic,208,8.9,25.7,1.2,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Masor Tenga,Generic,107,0.3,18.2,3.0,Yes,No,neutral,increases,neutral,Others,
Mawa Bati,Madhya Pradesh,105,2.1,18.1,3.1,Yes,No,neutral,neutral,neutral,Others,
Methi Thepla,Generic,93,1.7,7.7,2.0,Yes,No,neutral,neutral,neutral,Others,
Millet Porridge,Generic,131,2.8,41.1,0.0,Yes,No,decreases,neutral,neutral,Others,
Millet Roti,Generic,133,2.1,14.6,0.0,Yes,No,neutral,neutral,neutral,Grains,1.5
Mirchi Bada,Generic,161,1.1,30.3,1.0,Yes,No,neutral,neutral,neutral,Others,
Mirchi Bajji,Generic,96,3.9,25.5,0.0,Yes,No,neutral,neutral,neutral,Others,
Misal Pav,Generic,147,3.4,19.0,4.5,Yes,No,neutral,neutral,neutral,Others,
Mishti Doi,Generic,156,4.9,15.8,2.1,Yes,No,neutral,neutral,neutral,Others,
Miso Soup,International,163,4.5,14.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Modak,Generic,181,2.0,17.3,9.6,Yes,No,neutral,neutral,increases,Others,
Modur Pulao,Jammu & Kashmir,134,0.2,45.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Mohan Maas,Generic,166,0.2,31.5,2.6,Yes,No,neutral,neutral,neutral,Others,
Momo,Generic,117,3.8,10.6,1.1,Yes,No,neutral,neutral,neutral,Others,
Momos,Generic,113,0.2,27.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Moong Dal (light),Generic,115,3.3,28.3,1.5,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Mosambi,Generic,99,2.9,15.9,0.9,Yes,Yes,neutral,neutral,neutral,Others,
Mulberry,Generic,66,0.9,29.9,1.4,Yes,Yes,decreases,decreases,neutral,Others,
Muskmelon,Generic,66,0.2,26.2,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Mysore Masala Dosa,Karnataka,213,1.0,37.8,1.7,Yes,No,decreases,decreases,neutral,Grains,6.0
Naga Chutney,Generic,121,2.9,14.8,2.0,Yes,No,neutral,increases,neutral,Condiments,2.0
Naga Pork Curry,Generic,190,26.4,3.2,7.3,No,No,neutral,neutral,neutral,Vegetables,0.5
Neer Dosa,Karnataka,189,3.1,32.1,1.4,Yes,No,decreases,neutral,neutral,Grains,6.0
Oats Porridge (thin),Generic,121,3.6,34.8,1.2,Yes,Yes,decreases,neutral,neutral,Others,
Orange,Generic,108,1.6,15.1,0.3,Yes,Yes,decreases,neutral,neutral,Fruits,0.3
Pakhala Bhata,Generic,118,3.0,20.5,0.0,Yes,No,neutral,neutral,neutral,Others,
Panchmel Dal,Generic,140,6.0,10.5,1.3,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Paneer (light),Generic,364,7.1,3.0,5.7,Yes,No,neutral,neutral,increases,Dairy Products,20.0
Paneer Tikka,Generic,194,5.6,3.5,7.8,Yes,No,neutral,decreases,increases,Dairy Products,20.0
Pani Puri,Generic,77,6.8,30.2,0.7,Yes,No,increases,neutral,neutral,Others,
Papaya,Generic,77,1.4,12.3,1.2,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Pappu Charu,Generic,113,0.3,39.2,0.1,Yes,No,neutral,neutral,neutral,Others,
Paratha (mixed),Generic,128,1.6,18.4,0.8,Yes,No,neutral,neutral,neutral,Grains,8.0
Paruppu Usili,Tamil Nadu,78,4.1,3.0,4.3,Yes,No,neutral,neutral,neutral,Others,
Patra,Generic,150,3.7,32.5,1.7,Yes,No,neutral,neutral,neutral,Others,
Paturi,Generic,117,6.0,10.0,1.0,Yes,No,neutral,neutral,neutral,Others,
Pav Bhaji,Generic,88,1.5,22.3,1.5,Yes,No,increases,neutral,neutral,Others,
Pazham Pori,Kerala,160,0.2,18.9,0.0,Yes,No,neutral,neutral,neutral,Others,
Pear,Generic,142,0.7,13.4,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Persimmon,Generic,119,0.7,15.1,0.9,Yes,Yes,decreases,neutral,neutral,Others,
Pesarattu,Generic,152,10.8,22.5,1.7,Yes,No,neutral,neutral,neutral,Others,
Petha,Generic,137,0.2,55.5,0.6,Yes,No,neutral,neutral,increases,Others,
Phagshapa,Generic,158,3.6,10.3,0.0,Yes,No,neutral,neutral,neutral,Others,
Pineapple,Generic,90,3.5,30.7,0.8,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Pitha,Generic,128,1.9,33.8,0.1,Yes,No,neutral,neutral,neutral,Others,
Plain Dosa,Generic,153,4.8,23.1,0.2,Yes,No,decreases,decreases,neutral,Grains,6.0
Plain Pasta (olive oil light),International,91,0.2,38.8,0.0,Yes,No,decreases,neutral,neutral,Others,
Plain Rice,Generic,151,1.4,30.8,0.9,Yes,No,decreases,decreases,neutral,Grains,0.5
Plum,Generic,20,1.1,16.7,0.5,Yes,Yes,decreases,decreases,neutral,Others,
Poached Chicken,International,114,18.5,5.4,8.1,No,No,neutral,neutral,neutral,Non-Veg Protein,8.0
Poha,Generic,114,3.3,17.7,2.3,Yes,No,neutral,neutral,neutral,Others,
Poita Bhat,Generic,114,2.3,37.5,0.0,Yes,No,neutral,neutral,neutral,Others,
Pomegranate,Generic,74,1.9,10.1,1.0,Yes,Yes,decreases,neutral,neutral,Others,
Pongal,Tamil Nadu,187,4.6,38.6,1.9,Yes,No,decreases,neutral,neutral,Others,
Pongal (plain),Generic,160,5.6,35.6,1.6,Yes,No,decreases,decreases,neutral,Others,
Pootharekulu,Generic,119,1.6,30.8,1.9,Yes,No,neutral,neutral,neutral,Others,
Pork with Bamboo Shoot,Generic,159,25.6,4.3,7.4,No,No,neutral,increases,neutral,Others,
Prawn Balchão,Generic,215,20.9,4.9,7.6,No,No,neutral,neutral,neutral,Others,
Pulihora,Generic,74,2.8,28.9,0.0,Yes,No,neutral,neutral,neutral,Others,
Pumaloi,Generic,118,3.5,29.8,0.7,Yes,No,neutral,neutral,neutral,Others,
Puran Poli,Generic,63,1.8,12.1,5.5,Yes,No,decreases,neutral,increases,Others,
Puttu,Kerala,98,7.2,27.5,0.6,Yes,No,neutral,neutral,neutral,Others,
Quinoa Salad,International,38,1.9,20.1,3.3,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Ragi Mudde,Karnataka,124,0.2,35.4,0.0,Yes,No,neutral,neutral,neutral,Others,
Ragi Porridge,Generic,108,3.6,14.9,1.7,Yes,No,decreases,neutral,neutral,Others,
Ragi Roti,Generic,166,0.2,46.7,2.2,Yes,No,neutral,neutral,neutral,Grains,1.5
Rajma,Generic,95,3.2,42.7,1.0,Yes,No,neutral,neutral,neutral,Others,
Rajma Chawal,Generic,114,4.3,31.9,4.9,Yes,No,neutral,neutral,neutral,Others,
Rasam,Tamil Nadu,151,0.7,40.2,4.1,Yes,No,neutral,increases,neutral,Others,
Rasgulla,Generic,158,1.5,14.8,0.0,Yes,No,neutral,neutral,increases,Others,
Roasted Makhana (light),Generic,45,0.2,39.0,0.7,Yes,No,increases,neutral,neutral,Others,
Rogan Josh,Jammu & Kashmir,168,3.5,26.2,1.3,Yes,No,neutral,neutral,neutral,Others,
Royyala Iguru,Generic,126,1.4,20.3,1.8,Yes,No,neutral,neutral,neutral,Others,
Sabudana Khichdi,Generic,152,4.4,24.7,0.3,Yes,No,decreases,neutral,neutral,Others,
Sadya (mixed),Kerala,132,0.2,15.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Sambar,Tamil Nadu,74,0.2,24.1,0.0,Yes,No,neutral,increases,neutral,Legumes/Pulses,1.0
Samosa,Generic,52,4.3,28.8,3.5,Yes,No,neutral,neutral,neutral,Others,
Sandesh,Generic,161,6.7,18.0,2.6,Yes,No,neutral,neutral,neutral,Others,
Sannas,Generic,165,3.6,21.2,4.7,Yes,No,neutral,neutral,neutral,Others,
Santula,Generic,156,6.7,33.9,4.3,Yes,No,neutral,neutral,neutral,Others,
Sarson da Saag with Makki di Roti,Generic,117,1.0,17.7,0.0,Yes,No,neutral,neutral,neutral,Grains,1.5
Sarson ka Saag,Generic,125,0.5,35.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Sarva Pindi,Generic,38,2.7,19.1,2.3,Yes,No,neutral,neutral,neutral,Others,
Sattu Paratha,Generic,66,9.0,21.2,2.1,Yes,No,neutral,neutral,neutral,Grains,8.0
Sel Roti,Generic,64,1.9,30.5,0.0,Yes,No,neutral,neutral,neutral,Grains,1.5
Shorshe Ilish,Generic,126,3.0,16.8,0.2,Yes,No,neutral,neutral,neutral,Others,
Simple Grilled Fish,International,178,21.8,1.4,8.9,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
Skyu,Ladakh,133,4.1,25.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Smoked Pork with Bamboo Shoot,Generic,183,15.8,6.5,0.8,No,No,neutral,neutral,neutral,Others,
Sol Kadhi,Generic,141,3.3,37.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Sorpotel,Generic,163,1.0,21.6,1.1,Yes,No,neutral,neutral,neutral,Others,
Sprouted Moong,Generic,187,3.9,18.6,0.9,Yes,Yes,decreases,neutral,neutral,Others,
Steamed Dumplings (plain),International,193,0.2,33.3,0.0,Yes,No,neutral,neutral,neutral,Beverages,0.0
Steamed Idli,Generic,116,1.8,27.4,0.7,Yes,No,decreases,decreases,neutral,Grains,0.5
Steamed Vegetables,International,184,4.6,38.5,3.8,Yes,No,neutral,neutral,neutral,Beverages,0.0
Strawberry,Generic,62,0.8,11.9,1.6,Yes,Yes,decreases,decreases,neutral,Others,
Tandoori Chicken,Generic,171,13.0,0.0,7.2,No,No,neutral,neutral,neutral,Non-Veg Protein,8.0
Tehri,Generic,112,7.2,4.2,1.6,Yes,No,neutral,neutral,neutral,Others,
Thalipeeth,Generic,111,1.9,31.7,0.0,Yes,No,neutral,neutral,neutral,Others,
Thekua,Generic,65,1.6,33.9,0.0,Yes,No,neutral,neutral,neutral,Others,
Thepla,Generic,111,3.4,12.9,1.8,Yes,No,neutral,neutral,neutral,Others,
Thukpa,Generic,157,8.6,19.4,4.2,Yes,No,neutral,neutral,neutral,Others,
Tilkut,Generic,128,2.4,26.4,0.0,Yes,No,neutral,neutral,neutral,Others,
Tofu (light),Generic,101,1.3,32.8,1.6,Yes,Yes,neutral,neutral,neutral,Others,
Toor Dal (light),Generic,122,9.5,33.0,1.0,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Tuna Curry,Lakshadweep,127,5.0,23.9,0.5,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Tungrymbai,Generic,109,3.8,20.2,0.0,Yes,No,neutral,neutral,neutral,Others,
Ulava Charu,Generic,202,2.4,20.6,0.0,Yes,No,neutral,neutral,neutral,Others,
Undhiyu,Generic,122,6.9,5.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Upma (plain),Generic,174,3.4,35.5,1.4,Yes,No,decreases,decreases,neutral,Grains,0.5
Vada,Tamil Nadu,114,1.5,39.7,2.5,Yes,No,increases,neutral,neutral,Others,
Vada Pav,Generic,77,3.8,16.5,4.4,Yes,No,increases,neutral,neutral,Others,
Vegetable Stir Fry (light),International,179,3.6,28.5,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Vindaloo,Generic,138,3.0,22.3,0.9,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Warm Turmeric Milk (small),Generic,320,12.2,11.0,8.9,Yes,No,neutral,neutral,increases,Dairy Products,3.5
Watermelon,Generic,85,0.6,16.0,1.2,Yes,Yes,decreases,decreases,neutral,Others,
Wheat Roti,Generic,89,4.9,20.2,2.9,Yes,No,neutral,neutral,neutral,Grains,1.5
Xacuti,Generic,56,3.1,17.0,1.5,Yes,No,neutral,neutral,neutral,Others,
Yakhni,Jammu & Kashmir,148,1.4,20.3,4.9,Yes,No,neutral,neutral,neutral,Others,
Bajra Roti (with jaggery (small)),South Indian,171,1.4,29.6,3.1,Yes,No,neutral,neutral,neutral,Grains,1.5
Fish Fry (plain),South Indian,265,10.4,5.4,0.5,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
Apricot (fermented (mild)),Chhattisgarh,67,0.9,16.5,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Dabeli (sprouted),Tamil Nadu,138,5.0,23.7,3.7,Yes,No,neutral,neutral,neutral,Others,
Avocado (thin),International,60,0.5,11.5,0.0,Yes,Yes,decreases,neutral,neutral,Others,
Patra (mild),International,112,5.9,31.4,2.5,Yes,No,neutral,neutral,neutral,Others,
Khicede (boiled),South Indian,86,0.2,28.9,2.1,Yes,No,decreases,neutral,neutral,Others,
Masala Fish Curry (with jaggery (small)),North Indian,181,20.2,9.6,6.5,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
Tehri (lightly spiced),Maharashtrian,182,6.1,27.8,3.0,Yes,No,neutral,increases,neutral,Others,
Axone (fermented soybean) (thin),Goan,114,3.0,23.0,2.8,Yes,Yes,neutral,neutral,neutral,Legumes/Pulses,1.0
Panchmel Dal (steamed),Generic,74,7.5,17.4,0.8,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Fish Fry (mild),International,230,13.8,2.8,1.7,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
